EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
EPMFRC111D01,epm0210,apol5u8,HYP-NADC-11,srv10516,unit1877,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0211,apol5u8,HYP-NADC-11,srv10605,unit1886,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0230,apol5u8,HYP-NADC-11,srv12714,unit3668,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0231,apol5u8,HYP-NADC-11,srv10516,unit3669,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0240,apol5u8,HYP-NADC-11,srv12714,unit3671,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0245,apol5u8,HYP-NADC-11,srv10516,unit3672,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0246,apol5u8,HYP-NADC-11,srv14207,unit3673,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0249,apol5u8,HYP-NADC-11,srv13612,unit3674,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0250,apol5u8,HYP-NADC-11,srv12714,unit3675,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0251,apol5u8,HYP-NADC-11,srv14604,unit3676,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0252,apol5u8,HYP-NADC-11,srv11613,unit3677,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0253,apol5u8,HYP-NADC-11,srv10113,unit3678,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0395,apol5u8,HYP-NADC-11,srv13215,unit21179,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0405,apol5u8,HYP-NADC-11,srv10514,unit21180,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0424,apol5u8,HYP-NADC-11,srv14202,unit21181,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0440,apol5u8,HYP-NADC-11,srv13610,unit21182,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMFRC111D01,epm0442,apol5u8,HYP-NADC-11,srv10515,unit21183,EPMFRC111D01_FRC,32,4,16,Prod,Retire 10/30/15,
EPMPBC111D02,epm0014,DomU_ol5u8,HYP-NADC-11,srv10605,unit17558,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0045,DomU_ol5u8,HYP-NADC-11,srv10515,unit14627,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0046,DomU_ol5u8,HYP-NADC-11,srv14604,unit14628,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0052,DomU_ol5u8,HYP-NADC-11,srv10520,unit14629,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0061,DomU_ol5u8,HYP-NADC-11,srv13902,unit24533,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0064,DomU_ol5u8,HYP-NADC-11,srv14202,unit24534,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0066,DomU_ol5u8,HYP-NADC-11,srv12703,unit24535,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0067,DomU_ol5u8,HYP-NADC-11,srv13902,unit24536,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0147,DomU_ol5u8,HYP-NADC-11,srv10514,unit9711,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0148,DomU_ol5u8,HYP-NADC-11,srv10520,unit18445,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0164,DomU_ol5u8,HYP-NADC-11,srv14002,unit18846,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0168,DomU_ol5u8,HYP-NADC-11,srv13902,unit18850,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0225,DomU_ol5u8,TECHBUILD-NADC-01,srv17832,unit24746,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0227,DomU_ol5u8,TECHBUILD-NADC-01,srv12112,unit24747,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0291,DomU_ol5u8,HYP-NADC-11,srv10516,unit20769,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0292,DomU_ol5u8,HYP-NADC-11,srv13610,unit22175,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0293,DomU_ol5u8,HYP-NADC-11,srv12703,unit22176,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0294,DomU_ol5u8,HYP-NADC-11,srv14207,unit22177,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0295,DomU_ol5u8,HYP-NADC-11,srv13102,unit22178,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0296,DomU_ol5u8,HYP-NADC-11,srv13610,unit22179,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0297,DomU_ol5u8,HYP-NADC-11,srv12703,unit22180,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0298,DomU_ol5u8,HYP-NADC-11,srv10908,unit9934,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0299,DomU_ol5u8,HYP-NADC-11,srv13612,unit9935,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0300,DomU_ol5u8,HYP-NADC-11,srv12714,unit9936,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0301,DomU_ol5u8,HYP-NADC-11,srv14002,unit23036,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0302,DomU_ol5u8,HYP-NADC-11,srv14002,unit23037,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0303,DomU_ol5u8,HYP-NADC-11,srv13102,unit23038,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0304,DomU_ol5u8,HYP-NADC-11,srv14207,unit23039,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0305,DomU_ol5u8,HYP-NADC-11,srv14002,unit23040,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0306,DomU_ol5u8,HYP-NADC-11,srv12703,unit23041,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0307,DomU_ol5u8,HYP-NADC-11,srv10514,unit23058,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0308,DomU_ol5u8,HYP-NADC-11,srv10605,unit23059,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0309,DomU_ol5u8,HYP-NADC-11,srv10605,unit23060,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0310,DomU_ol5u8,HYP-NADC-11,srv14202,unit23061,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0311,DomU_ol5u8,HYP-NADC-11,srv10605,unit23108,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0312,DomU_ol5u8,HYP-NADC-11,srv13902,unit23169,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0323,DomU_ol5u8,HYP-NADC-11,srv11613,unit9937,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0329,DomU_ol5u8,HYP-NADC-11,srv10605,unit23346,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0330,DomU_ol5u8,HYP-NADC-11,srv10514,unit23347,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0331,DomU_ol5u8,HYP-NADC-11,srv13902,unit23348,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0332,DomU_ol5u8,HYP-NADC-11,srv13102,unit23349,EPMPBC111D02_PBC,24,4,12,Prod,Y,
EPMPBC111D02,epm0333,DomU_ol5u8,HYP-NADC-11,srv13610,unit23350,EPMPBC111D02_PBC,24,4,12,Prod,Y,
