EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
OBIBIS111D06,obi0229,apol5u10,ADE-NADC-11,srv11905,unit20583,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0232,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv14806,unit20766,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0232,apol5u10,TECHPROD-NADC-01,srv14806,unit20765,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0236,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv11812,unit24209,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0236,apol5u10,TECHPROD-NADC-01,srv11812,unit24208,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,obi0272,Windows 2008 R2 Standard (64) - v2,TECHPROD-NADC-01,srv17931,unit0057,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,obi0272,apol5u10,TECHPROD-NADC-01,srv17931,unit0056,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,ofm00211,Windows 2008 R2 Standard (64) - v2,TECHBUILD-NADC-01,srv11510,unit4486,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06,ofm00211,apol5u10,TECHBUILD-NADC-01,srv17832,unit4485,OBIBIS111D06_BIS,24,4,12,Prod,Retire 12/31/2015,
OBIBIS111D06,ofm00213,Windows 2008 R2 Standard (64),TECHBUILD-NADC-01,srv11510,unit4497,OBIBIS111D06_BIT,6,2,3,Prod,Retire 12/31/2015,Windows no EM
OBIBIS111D06 Total,,,,,,,,158,399,,,
OBIBIS111D08,obi0109,apol5u10,TECHPROD-NADC-01,srv17931,unit17426,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0111,apol5u10,TECHPROD-NADC-01,srv11215,unit18812,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0130,apol5u10,TECHPROD-NADC-01,srv12005,unit24337,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0131,apol5u10,TECHPROD-NADC-01,srv14408,unit24338,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0132,apol5u10,TECHPROD-NADC-01,srv10611,unit24339,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0137,apol5u10,TECHPROD-NADC-01,srv13703,unit24581,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0192,apol5u10,TECHPROD-NADC-01,srv17809,unit17516,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0215,apol5u10,TECHPROD-NADC-01,srv14806,unit24582,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0218,apol5u10,TECHPROD-NADC-01,srv14705,unit24583,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0235,apol5u10,TECHPROD-NADC-01,srv11812,unit17519,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0246,apol5u10,TECHPROD-NADC-01,srv14413,unit18281,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0247,apol5u10,TECHPROD-NADC-01,srv17831,unit18282,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0248,apol5u10,TECHPROD-NADC-01,srv14808,unit18286,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0249,apol5u10,TECHPROD-NADC-01,srv12105,unit18287,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0250,apol5u10,TECHPROD-NADC-01,srv13410,unit17520,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0251,apol5u10,TECHPROD-NADC-01,srv13410,unit17521,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0253,apol5u10,TECHPROD-NADC-01,srv11710,unit17624,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0261,apol5u10,TECHPROD-NADC-01,srv11906,unit17625,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08,obi0274,apol5u10,TECHPROD-NADC-01,srv12005,unit0076,OBIBIS111D08_BIS,38,6,19,Prod,Retire 12/31/2015,
OBIBIS111D08 Total,,,,,,,,114,361,,,
OBIBIS111D09,obi0122,apol5u10,TECHBUILD-NADC-01,srv11002,unit24287,OBIBIS111D09_BIS,38,6,19,Dev,Y,
OBIBIS111D09,obi0125,apol5u10,TECHBUILD-NADC-01,srv10805,unit24288,OBIBIS111D09_BIS,38,6,19,Dev,Y,
OBIBIS111D09,obi0234,apol5u10,TECHPROD-NADC-01,srv11812,unit17518,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0258,apol5u10,TECHPROD-NADC-01,srv11710,unit14753,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0260,apol5u10,TECHPROD-NADC-01,srv11906,unit17554,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0268,apol5u10,TECHPROD-NADC-01,srv17931,unit22041,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0269,apol5u10,TECHPROD-NADC-01,srv17931,unit22181,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0270,apol5u10,TECHPROD-NADC-01,srv13410,unit0515,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0276,apol5u10,TECHPROD-NADC-01,srv17932,unit0320,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0277,apol5u10,TECHPROD-NADC-01,srv14708,unit0322,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0278,apol5u10,TECHPROD-NADC-01,srv17932,unit0484,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0280,apol5u10,TECHPROD-NADC-01,srv11812,unit1315,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0281,apol5u10,TECHPROD-NADC-01,srv11906,unit1995,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0282,apol5u10,TECHBUILD-NADC-01,srv11002,unit1999,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0283,apol5u10,TECHPROD-NADC-01,srv11812,unit19785,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0284,apol5u10,TECHPROD-NADC-01,srv17831,unit23079,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0285,apol5u10,TECHPROD-NADC-01,srv10611,unit23080,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0316,apol5u10,TECHPROD-NADC-01,srv13410,unit5053,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0328,apol5u10,TECHPROD-NADC-01,srv14805,unit17202,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09,obi0331,apol5u10,TECHPROD-NADC-01,srv13411,unit17936,OBIBIS111D09_BIS,38,6,19,Prod,Y,
OBIBIS111D09 Total,,,,,,,,120,380,,,
OBIBIS111D10,obi0012,apol5u10,TECHBUILD-NADC-01,srv17832,unit24246,OBIBIS111D10_BIS,24,4,12,Dev,Retire 12/31/2015,
OBIBIS111D10,obi0086,apol5u10,TECHBUILD-NADC-01,srv11510,unit24247,OBIBIS111D10_BIS,24,4,12,Dev,Retire 12/31/2015,
OBIBIS111D10,obi0088,apol5u10,TECHBUILD-NADC-01,srv17832,unit24248,OBIBIS111D10_BIS,24,4,12,Dev,Retire 12/31/2015,
OBIBIS111D10 Total,,,,,,,,12,36,,,
OBIOTBIEED01,obi0035,apol5u10,TECHPROD-NADC-01,srv11906,unit18544,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0035,apol5u10,TECHPROD-NADC-01,srv12806,unit18647,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0084,apol5u10,TECHPROD-NADC-01,srv10903,unit18648,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0084,apol5u10,TECHPROD-NADC-01,srv14408,unit18649,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0094,apol5u10,TECHBUILD-NADC-01,srv17930,unit18677,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0094,apol5u10,TECHBUILD-NADC-01,srv17930,unit18678,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0100,apol5u10,TECHBUILD-NADC-01,srv17930,unit18778,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0100,apol5u10,TECHBUILD-NADC-01,srv17930,unit18779,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
